Reef_ID,reef_name,not_zoned,buffer,commonwealth_island_GBRMPA,conservation_park,general_use,habitat_protection,marine_national_park,preservation,scientific_research,total_area_nine_zones,minimum_distance_to_nearest_port_m,GBRMPA_management_area,subregion,qfish,region_code
14,U/N Reef,0,0,0,0,0,6.153130426,0,0,0,6.153130426,97687.03159,Far Northern Management Area,Torres Strait,59058,E
15,Tree Reef,0,0,0,0,0,0.130701654,0,0,0,0.130701654,43932.17396,Far Northern Management Area,Torres Strait,59057,E
16,Brush Islet Reef,0,0,0,0,0,0.079961712,0,0,0,0.079961712,44099.15429,Far Northern Management Area,Torres Strait,59057,E
17,Albany Island Reef (No 1),0,0,0,0,0,0.500427867,0,0,0,0.500427867,43190.41448,Far Northern Management Area,Torres Strait,59057,E
18,Albany Island Reef (No 2),0,0,0,0,0,0.51283562,0,0,0,0.51283562,46433.38249,Far Northern Management Area,Torres Strait,59057,E
19,Albany Island Reef (No 3),0,0,0,0,0,0.2788252,0,0,0,0.2788252,47969.09869,Far Northern Management Area,Torres Strait,59057,E
20,Albany Island Reef (No 4),0,0,0,0,0,0.151779392,0,0,0,0.151779392,44372.5281,Far Northern Management Area,Torres Strait,59057,E
21,Mai Reef,0,0,0,0,0,0.523262873,0,0,0,0.523262873,47045.09418,Far Northern Management Area,Torres Strait,59057,E
22,Albany Rock Reef,0,0,0,0,0,0.001576551,0,0,0,0.001576551,47845.46225,Far Northern Management Area,Torres Strait,59057,E
23,North Brother Reef,0,0,0,0,0.005126039,0,0,0,0,0.005126039,51817.09223,Far Northern Management Area,Torres Strait,59057,E
24,Middle Brother Reef,0,0,0,0,0,1.504882857,0,0,0,1.504882857,52985.00034,Far Northern Management Area,Torres Strait,59057,E
25,South Brother Reef,0,0,0,0,0,0.046773134,0,0,0,0.046773134,53943.91203,Far Northern Management Area,Torres Strait,59057,E
26,North Ledge,0,0,0,0,0,1.814945137,0,0,0,1.814945137,56164.01389,Far Northern Management Area,Torres Strait,59057,E
27,Meggi-Damun Reef,0,0,0,0,0,2.024583715,0,0,0,2.024583715,62164.63256,Far Northern Management Area,Torres Strait,59057,E
28,South Ledge,0,0,0,0,0,15.58375128,0,0,0,15.58375128,52426.50612,Far Northern Management Area,Torres Strait,59057,E
29,Ulfa Reef,0,0,0,0,0,0.065526301,0,0,0,0.065526301,48042.22417,Far Northern Management Area,Torres Strait,59057,E
30,Ariel Bank,0,0,0,0,0,0.376311179,0,0,0,0.376311179,49662.7851,Far Northern Management Area,Torres Strait,59057,E
1,U/N Reef,0,0,0,0,0,0.83553108,0,0,0,0.83553108,46596.97332,Far Northern Management Area,Torres Strait,59057,E
2,Harrington Shoal,0,0,0,0,0.050957401,0,0,0,0,0.050957401,59079.74127,Far Northern Management Area,Torres Strait,59057,E
3,U/N Reef,0,0,0,0,0,0.000170837,0,0,0,0.000170837,47635.27128,Far Northern Management Area,Torres Strait,59057,E
4,U/N Reef,0,0,0,0,0,2.96E-05,0,0,0,2.96E-05,49025.56764,Far Northern Management Area,Torres Strait,59057,E
