id,reef_uniqueid,reef_name,not_zoned,buffer,commonwealth_island_GBRMPA,conservation_park,general_use,habitat_protection,marine_national_park,preservation,scientific_research,total_area_nine_zones,minimum_distance_to_nearest_port_m,GBRMPA_management_area,subregion,qfish,region_code
1,10299100104,U/N Reef,0,0,0,0,0,0,6.153130426,0,0,6.153130426,97687.03159,Far Northern,Torres Strait,59058,E
2,10316100104,Tree Reef,5.51E-05,0,0,0,0,0,0.130646601,0,0,0.130701654,43932.17396,Far Northern,Torres Strait,59057,E
3,10317100104,Brush Islet Reef,6.18E-05,0,0,0,0,0,0.07989992,0,0,0.079961712,44099.15429,Far Northern,Torres Strait,59057,E
4,10318101104,Albany Island Reef (No 1),0.000103327,0,0,0,0,0,0.50032454,0,0,0.500427867,43190.41448,Far Northern,Torres Strait,59057,E
5,10318102104,Albany Island Reef (No 2),0.000108262,0,0,0,0,0,0.512727358,0,0,0.51283562,46433.38249,Far Northern,Torres Strait,59057,E
6,10318103104,Albany Island Reef (No 3),5.21E-05,0,0,0,0,0,0.278773127,0,0,0.2788252,47969.09869,Far Northern,Torres Strait,59057,E
7,10318104104,Albany Island Reef (No 4),0.000137299,0,0,0,0,0,0.151642093,0,0,0.151779392,44372.5281,Far Northern,Torres Strait,59057,E
8,10320100104,Mai Reef,0.000180618,0,0,0,0,0,0.523082255,0,0,0.523262873,47045.09418,Far Northern,Torres Strait,59057,E
9,10321100104,Albany Rock Reef,9.03E-08,0,1.90E-06,0,0,0,0.001574557,0,0,0.001576551,47845.46225,Far Northern,Torres Strait,59057,E
10,10322100104,North Brother Reef,0,0,0,0,0,0.005126039,0,0,0,0.005126039,51817.09223,Far Northern,Torres Strait,59057,E
11,10323100104,Middle Brother Reef,0.000149264,0,0,0,0,0,1.504733593,0,0,1.504882857,52985.00034,Far Northern,Torres Strait,59057,E
12,10324100104,South Brother Reef,0,0,0,0,0,0,0.046773134,0,0,0.046773134,53943.91203,Far Northern,Torres Strait,59057,E
13,10325100104,North Ledge,1.407127551,0,0,0,0,0,0.407817586,0,0,1.814945137,56164.01389,Far Northern,Torres Strait,59057,E
14,10326100104,Meggi-Damun Reef,1.584426364,0,0,0,0,0,0.440157351,0,0,2.024583715,62164.63256,Far Northern,Torres Strait,59057,E
15,10327100104,South Ledge,3.468683941,0,0,0,0,0.001109766,12.11395757,0,0,15.58375128,52426.50612,Far Northern,Torres Strait,59057,E
16,10328100104,Ulfa Reef,0,0,0,0,0,0,0.065526301,0,0,0.065526301,48042.22417,Far Northern,Torres Strait,59057,E
17,10329100104,Ariel Bank,1.51E-05,0,0,0,0,0,0.376296058,0,0,0.376311179,49662.7851,Far Northern,Torres Strait,59057,E
18,10330100104,U/N Reef,0.000116307,0,0,0,0,0,0.835414773,0,0,0.83553108,46596.97332,Far Northern,Torres Strait,59057,E
19,10331100104,Harrington Shoal,0,0,0,0,0,0.050957401,0,0,0,0.050957401,59079.74127,Far Northern,Torres Strait,59057,E
20,10332100104,U/N Reef,0,0,0,0,0,0,0.000170837,0,0,0.000170837,47635.27128,Far Northern,Torres Strait,59057,E
21,10333100104,U/N Reef,0,0,0,0,0,0,2.96E-05,0,0,2.96E-05,49025.56764,Far Northern,Torres Strait,59057,E
22,10334100104,Four Fathom Patches,0,0,0,0,0,0.001210186,0,0,0,0.001210186,57821.81968,Far Northern,Torres Strait,59057,E
23,10335100104,Harrington Reef,0,0,0,0,0,0,4.162737108,0,0,4.162737108,60859.86683,Far Northern,Torres Strait,59057,E
24,10336100104,Wyborn Reef,9.34E-05,0,0,0,0,0,18.15501895,0,0,18.15511237,62449.85856,Far Northern,Torres Strait,59057,E
25,10337100104,U/N Reef,0,0,0,0,0,0.165003691,1.741173368,0,0,1.906177059,82237.51144,Far Northern,Torres Strait,59057,E
26,10338100104,Womer Reef,0.000242934,0,0,0,0,0.745687599,6.042292665,0,0,6.788223198,86706.35226,Far Northern,Torres Strait,59057,E
27,10339100104,Brewis Reef,1.45E-05,0,0,0,0,0,0.513959329,0,0,0.513973791,62962.43834,Far Northern,Torres Strait,59057,E
28,10340100104,Turtle Island Reef,0.000141012,0,0,0,0,0,0.679395055,0,0,0.679536067,63291.92168,Far Northern,Torres Strait,59057,E
29,10341100104,Shortland Reef,0,0,0,0,0,0,7.136815376,0,0,7.136815376,69328.47047,Far Northern,Torres Strait,59057,E
30,10342100104,Trochus Reef,0.053253282,0,0,0,0,0,0.018223115,0,0,0.071476397,59047.75177,Far Northern,Torres Strait,59057,E
31,10343101104,Turtle Head Island Reef (No 1),2.31E-05,0,0,0,0,0,0.082128042,0,0,0.08215113,67346.90116,Far Northern,Torres Strait,59057,E
32,10343102104,Turtle Head Island Reef (No 2),0.000144103,0,0,0,0,0,0.293530106,0,0,0.293674209,67758.2193,Far Northern,Torres Strait,59057,E
33,10344100104,Tern Reef,0,0,0,0,0,0,0.000583592,0,0,0.000583592,76386.58838,Far Northern,Torres Strait,59057,E
34,10348100104,U/N Reef,0,0,0,0,0,0.17859726,0,0,0,0.17859726,114229.8869,Far Northern,Torres Strait,59058,E
35,10349100104,U/N Reef,0,0,0,0,0,0,1.563807089,0,0,1.563807089,135034.0681,Far Northern,Torres Strait,59058,E
36,10350100104,U/N Reef,0,0,0,0,0,0,1.074871365,0,0,1.074871365,138460.2629,Far Northern,Torres Strait,59058,E
37,10351100104,U/N Reef,0,0,0,0,0,0,7.755676438,0,0,7.755676438,108041.0683,Far Northern,Torres Strait,59058,E
38,10352100104,U/N Reef,0,0,0,0,0,0,3.891241279,0,0,3.891241279,123378.5204,Far Northern,Torres Strait,59058,E
39,10353100104,U/N Reef,0.000126728,0,0,0,0,0.792551068,3.864137073,0,0,4.656814869,97718.59417,Far Northern,Torres Strait,59058,E
40,10354100104,U/N Reef,0,0,0,0,0,0.041178099,0,0,0,0.041178099,129051.1223,Far Northern,Torres Strait,59058,E
